City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,4.34,95,100,2.25,NZ,1679939181
1,punta arenas,-53.15,-70.9167,4.06,87,100,6.17,CL,1679938970
2,nabire,-3.3667,135.4833,23.64,92,94,1.47,ID,1679939181
3,nanjing,32.0617,118.7778,6.95,67,33,1.68,CN,1679939182
4,taraz,42.9,71.3667,7.23,70,33,4.0,KZ,1679939182
5,new norfolk,-42.7826,147.0587,12.72,79,100,1.28,AU,1679939183
6,ushuaia,-54.8,-68.3,3.79,93,100,2.57,AR,1679938919
7,san felipe,10.3399,-68.7425,30.49,46,77,3.46,VE,1679939184
8,tuktoyaktuk,69.4541,-133.0374,-2.0,80,75,12.35,CA,1679939183
9,goderich,43.7501,-81.7165,4.95,87,100,3.09,CA,1679939158
10,puerto leguizamo,-0.1934,-74.7819,27.74,79,93,0.93,CO,1679939185
11,badiraguato,25.3667,-107.5167,31.49,12,41,2.21,MX,1679939038
12,dakoro,14.5106,6.765,32.54,10,77,3.57,NE,1679939185
13,maningrida,-12.0667,134.2667,24.18,87,60,3.65,AU,1679939186
14,kostomuksha,64.571,30.5767,-11.75,97,63,2.71,RU,1679939186
15,naze,28.3667,129.4833,16.51,64,100,4.16,JP,1679939187
16,hobart,-42.8794,147.3294,12.92,94,100,3.09,AU,1679939148
17,dikson,73.5069,80.5464,-31.06,100,83,2.26,RU,1679939188
18,asau,46.4333,26.4,9.6,88,100,0.89,RO,1679939188
19,porto velho,-8.7619,-63.9039,30.03,62,75,1.54,BR,1679939116
20,odweyne,9.4092,45.064,27.51,44,68,5.3,SO,1679939189
21,sur,22.5667,59.5289,27.01,57,61,4.65,OM,1679939189
22,matara,5.9485,80.5353,25.28,89,19,1.35,LK,1679939190
23,busselton,-33.65,115.3333,12.83,84,0,4.69,AU,1679939190
24,kaitangata,-46.2817,169.8464,5.54,92,100,5.17,NZ,1679939191
25,prince rupert,54.3161,-130.3201,5.83,70,0,1.03,CA,1679939141
26,bredasdorp,-34.5322,20.0403,17.32,69,54,3.15,ZA,1679939191
27,pandan,14.0453,124.1694,25.57,85,16,3.67,PH,1679939191
28,atuona,-9.8,-139.0333,26.88,79,97,6.82,PF,1679939192
29,hermanus,-34.4187,19.2345,17.67,60,35,2.95,ZA,1679939192
30,longyearbyen,78.2186,15.6401,-10.09,62,20,5.66,SJ,1679938893
31,viesite,56.3475,25.5551,-0.52,78,92,2.72,LV,1679939193
32,katsuura,35.1333,140.3,12.28,76,100,7.67,JP,1679939194
33,upernavik,72.7868,-56.1549,-23.71,84,18,4.33,GL,1679939194
34,katherine,-14.4667,132.2667,22.18,78,64,1.54,AU,1679939194
35,gallipoli,40.4103,26.6708,17.92,32,1,9.05,TR,1679939195
36,dalbandin,28.8947,64.4101,22.41,24,66,6.98,PK,1679939195
37,padang,-0.9492,100.3543,25.72,89,67,1.68,ID,1679939179
38,ponta do sol,32.6667,-17.1,25.95,58,18,1.31,PT,1679939196
39,yellowknife,62.456,-114.3525,-18.58,65,0,2.06,CA,1679938984
40,luderitz,-26.6481,15.1594,17.45,88,6,0.47,NA,1679939196
41,vaini,-21.2,-175.2,25.09,100,75,4.12,TO,1679939197
42,bethel,41.3712,-73.414,16.6,31,0,2.06,US,1679939197
43,rancho mirage,33.7397,-116.4128,17.76,14,0,4.12,US,1679939115
44,georgetown,5.4112,100.3354,26.96,94,20,3.09,MY,1679939042
45,cape town,-33.9258,18.4232,22.99,57,0,2.57,ZA,1679939079
46,mar del plata,-38.0023,-57.5575,24.97,48,0,6.69,AR,1679939198
47,kodiak,57.79,-152.4072,-2.27,93,0,0.0,US,1679939198
48,egvekinot,66.3167,-179.1667,-29.63,90,20,2.0,RU,1679939199
49,arraial do cabo,-22.9661,-42.0278,26.98,83,75,5.66,BR,1679939199
50,broken hill,-31.95,141.4333,19.5,78,98,4.54,AU,1679939199
51,bengkulu,-3.8004,102.2655,25.03,88,95,1.73,ID,1679939200
52,albany,42.6001,-73.9662,11.76,39,71,1.56,US,1679939042
53,port blair,11.6667,92.75,27.02,78,40,1.03,IN,1679939200
54,vitim,59.4511,112.5578,1.36,98,100,5.46,RU,1679939201
55,thinadhoo,0.5333,72.9333,28.18,76,100,5.0,MV,1679939201
56,rikitea,-23.1203,-134.9692,26.37,80,40,7.54,PF,1679939202
57,fare,-16.7,-151.0167,27.46,74,57,3.54,PF,1679939202
58,laguna,38.421,-121.4238,15.05,51,0,2.57,US,1679939202
59,sungaipenuh,-2.0833,101.3833,19.71,97,99,0.22,ID,1679939203
60,calvinia,-31.4707,19.776,22.39,22,23,2.19,ZA,1679939203
61,ahuimanu,21.4447,-157.8378,24.84,84,20,1.54,US,1679939204
62,palmer,42.1584,-72.3287,15.36,29,75,2.68,US,1679939122
63,los llanos de aridane,28.6585,-17.9182,22.86,41,0,4.12,ES,1679939204
64,talakan,50.3167,130.3667,-4.35,93,44,1.02,RU,1679939205
65,yeppoon,-23.1333,150.7333,21.88,80,15,2.29,AU,1679939205
66,riobamba,-1.6667,-78.6333,16.2,82,75,5.14,EC,1679938915
67,ewa beach,21.3156,-158.0072,24.97,83,0,2.06,US,1679939020
68,bluff,-46.6,168.3333,8.4,61,91,9.77,NZ,1679939206
69,puerto cabezas,14.0351,-83.3888,29.98,79,75,5.14,NI,1679939206
70,barberton,-25.7884,31.0532,18.03,90,75,1.29,ZA,1679939207
71,deputatskiy,69.3,139.9,-17.98,99,98,2.09,RU,1679939178
72,chokurdakh,70.6333,147.9167,-15.16,87,100,5.04,RU,1679939207
73,hasaki,35.7333,140.8333,10.68,63,100,8.0,JP,1679939208
74,chapais,49.7834,-74.8492,-5.12,82,100,4.1,CA,1679939208
75,kutum,14.2,24.6667,24.39,20,88,3.8,SD,1679939209
76,derzhavinsk,51.1,66.3167,2.02,80,8,2.73,KZ,1679939210
77,airai,-8.9266,125.4092,15.34,94,100,0.72,TL,1679939210
78,luanda,-8.8368,13.2343,26.87,79,86,3.27,AO,1679938979
79,phan thiet,10.9333,108.1,24.63,92,95,3.42,VN,1679939211
80,ermelo,-26.5333,29.9833,9.4,90,17,3.1,ZA,1679939211
81,tocopilla,-22.092,-70.1979,23.99,70,68,2.64,CL,1679939212
82,povenets,62.8487,34.8262,-7.65,85,86,5.02,RU,1679939212
83,termiz,37.2242,67.2783,19.05,37,0,2.06,UZ,1679939212
84,tiksi,71.6872,128.8694,-19.72,89,63,8.24,RU,1679939213
85,khuzdar,27.7384,66.6434,19.8,34,60,3.67,PK,1679939213
86,hithadhoo,-0.6,73.0833,28.02,76,93,5.45,MV,1679939213
87,fairbanks,64.8378,-147.7164,0.19,64,100,0.0,US,1679939214
88,puerto ayora,-0.7393,-90.3518,30.98,86,82,3.58,EC,1679939190
89,avarua,-21.2078,-159.775,25.03,88,95,3.6,CK,1679939215
90,san pedro,14.35,121.0167,26.86,76,20,2.06,PH,1679939215
91,roald,62.5833,6.1333,2.08,55,0,0.0,NO,1679939216
92,butaritari,3.0707,172.7902,27.59,73,100,7.75,KI,1679939216
93,havoysund,70.9963,24.6622,-3.87,58,94,1.11,NO,1679939217
94,itai,-23.4178,-49.0906,24.25,77,99,4.41,BR,1679939217
95,altay,47.8667,88.1167,1.21,55,85,3.36,CN,1679939218
96,norman wells,65.282,-126.8329,-10.98,73,100,5.14,CA,1679939218
97,sheltozero,61.3667,35.3667,-4.06,89,100,6.06,RU,1679939219
98,sapa,5.1544,120.3241,26.61,83,100,2.26,PH,1679939219
99,sal rei,16.1833,-22.9167,26.11,69,0,5.14,CV,1679939220
100,karratha,-20.7377,116.8463,28.96,70,96,3.05,AU,1679939220
101,qaanaaq,77.484,-69.3632,-21.38,71,13,2.2,GL,1679939221
102,kruisfontein,-34.0033,24.7314,16.6,69,34,6.36,ZA,1679939221
103,port hedland,-20.3167,118.5667,27.03,94,99,2.06,AU,1679939221
104,iki-burul,45.8208,44.6472,10.35,85,100,2.47,RU,1679939222
105,klaksvik,62.2266,-6.589,3.51,54,82,5.82,FO,1679939226
106,grindavik,63.8424,-22.4338,0.97,55,0,6.69,IS,1679939232
107,belmonte,-15.8631,-38.8828,28.45,59,29,3.51,BR,1679939214
108,souillac,-20.5167,57.5167,26.21,83,40,1.54,MU,1679939233
109,san quintin,30.4833,-115.95,17.44,44,67,2.23,MX,1679939168
110,pisco,-13.7,-76.2167,27.03,61,0,3.6,PE,1679939234
111,mahebourg,-20.4081,57.7,26.16,83,40,1.54,MU,1679939240
112,nanortalik,60.1432,-45.2371,0.36,69,2,0.72,GL,1679939243
113,clyde river,70.4692,-68.5914,-24.87,77,20,0.0,CA,1679939249
114,hilo,19.7297,-155.09,24.79,88,75,2.57,US,1679939260
115,waipawa,-41.4122,175.5153,13.03,78,7,4.44,NZ,1679939262
116,seoul,37.5683,126.9778,4.69,81,0,1.54,KR,1679938443
117,yong peng,2.0136,103.0659,23.8,96,65,1.38,MY,1679939263
118,ribeira grande,38.5167,-28.7,16.54,77,20,9.39,PT,1679939214
119,dolores,-36.3132,-57.6792,27.27,28,3,6.14,AR,1679939264
120,provideniya,64.3833,-173.3,-23.17,100,61,3.07,RU,1679939264
121,varhaug,58.6147,5.6457,4.75,64,1,8.12,NO,1679939266
122,kerouane,9.2667,-9.0167,30.37,39,100,0.83,GN,1679939266
123,bambous virieux,-20.3428,57.7575,26.14,83,40,1.54,MU,1679939164
124,sebrovo,50.0981,43.2976,8.79,87,92,2.21,RU,1679939267
125,kill,52.1761,-7.335,9.34,84,40,6.69,IE,1679939268
126,vila velha,-20.3297,-40.2925,32.19,64,40,6.17,BR,1679939268
127,college,64.8569,-147.8028,0.18,59,100,0.0,US,1679939218
128,kapaa,22.0752,-159.319,24.55,89,0,2.57,US,1679939167
129,jamestown,42.097,-79.2353,6.96,98,100,2.06,US,1679939123
130,lucapa,-8.4192,20.7447,18.21,99,100,1.09,AO,1679939269
131,nong kung si,16.65,103.3,29.76,67,46,5.87,TH,1679939269
132,yichang,30.7144,111.2847,12.47,52,45,0.84,CN,1679939270
133,east london,-33.0153,27.9116,16.52,72,20,2.06,ZA,1679939176
134,yulara,-25.2406,130.9889,21.07,74,95,2.66,AU,1679939270
135,thio,-21.6167,166.2167,23.98,89,90,2.39,NC,1679939271
136,vestmannaeyjar,63.4427,-20.2734,0.55,64,0,8.75,IS,1679939271
137,ciudad bolivar,8.1222,-63.5497,35.66,27,48,4.41,VE,1679939271
138,ancud,-41.8697,-73.8203,13.18,88,97,9.04,CL,1679939272
139,lorengau,-2.0226,147.2712,26.83,81,50,1.74,PG,1679939272
140,isla vista,34.4133,-119.861,18.53,37,0,2.06,US,1679939272
141,usinsk,65.9939,57.5281,-13.65,88,82,5.45,RU,1679939178
142,hualmay,-11.0964,-77.6139,25.88,73,92,4.23,PE,1679939273
143,namibe,-15.1961,12.1522,24.38,83,97,2.29,AO,1679939274
144,wagar,16.1525,36.2032,29.12,14,53,3.61,SD,1679939274
145,monrovia,6.3005,-10.7969,28.87,77,97,5.32,LR,1679939275
146,anzio,41.4853,12.6179,15.7,73,4,8.25,IT,1679939275
147,pavlohrad,48.5167,35.8667,11.41,53,46,3.06,UA,1679939275
148,pevek,69.7008,170.3133,-22.09,88,94,5.71,RU,1679939276
149,tasiilaq,65.6145,-37.6368,-8.91,79,8,1.58,GL,1679939276
150,arlit,18.7369,7.3853,27.19,9,0,2.94,NE,1679939276
151,belaya gora,68.5333,146.4167,-17.81,83,87,4.14,RU,1679939263
152,qaqortoq,60.7167,-46.0333,-0.32,74,6,0.93,GL,1679939277
153,xixiang,35.1628,112.865,13.26,43,61,1.37,CN,1679939279
154,chuy,-33.6971,-53.4616,23.74,49,0,2.77,UY,1679939279
155,saint-francois,46.4154,3.9054,6.69,61,0,2.57,FR,1679939280
156,sinnamary,5.3833,-52.95,27.13,71,91,4.05,GF,1679939280
157,jinchang,38.4953,102.1739,9.1,20,100,2.47,CN,1679939281
158,la ronge,55.1001,-105.2842,-14.86,33,0,1.03,CA,1679939281
159,hammerfest,70.6634,23.6821,-5.75,86,75,0.0,NO,1679939282
160,leningradskiy,69.3833,178.4167,-19.83,80,99,3.77,RU,1679939282
161,port alfred,-33.5906,26.891,16.77,74,34,0.45,ZA,1679939201
162,aykhal,66.0,111.5,-16.62,99,99,3.3,RU,1679939285
163,faya,18.3851,42.4509,15.06,82,87,2.73,SA,1679939285
164,cockburn town,21.4612,-71.1419,25.24,78,0,8.16,TC,1679939286
165,kavieng,-2.5744,150.7967,27.38,72,57,2.35,PG,1679939219
166,vostok,46.4856,135.8833,-6.3,82,9,2.5,RU,1679939287
167,barcelos,41.5388,-8.6151,18.71,62,33,1.41,PT,1679939226
168,esperance,-33.8667,121.9,16.63,62,71,4.6,AU,1679939288
169,san rafael del sur,11.8485,-86.4384,31.54,41,10,6.33,NI,1679939288
170,kargat,55.1956,80.2811,1.03,99,100,3.66,RU,1679939289
171,comodoro rivadavia,-45.8667,-67.5,24.92,23,0,11.83,AR,1679939293
172,kalmunai,7.4167,81.8167,25.73,76,53,1.07,LK,1679939296
173,antibes,43.5624,7.1278,17.3,52,0,2.57,FR,1679939118
174,newark,40.7357,-74.1724,18.1,32,40,7.2,US,1679939038
175,quesnel,52.9999,-122.5029,-1.72,59,0,5.66,CA,1679939297
176,gat,31.61,34.7642,17.67,100,0,2.12,IL,1679939097
177,cabo san lucas,22.8909,-109.9124,26.45,41,40,1.54,MX,1679938565
178,constitucion,-35.3333,-72.4167,18.2,61,3,4.49,CL,1679939258
179,auki,-8.7676,160.7034,25.3,87,93,2.1,SB,1679939314
180,thompson,55.7435,-97.8558,-16.91,55,0,5.66,CA,1679938684
181,bouillante,16.1304,-61.7692,25.57,66,18,5.88,GP,1679939314
182,isangel,-19.55,169.2667,25.68,85,78,2.0,VU,1679939317
183,svetlogorsk,52.6333,29.7333,8.12,72,100,3.26,BY,1679939318
184,cap malheureux,-19.9842,57.6142,25.26,79,7,1.34,MU,1679939319
185,atambua,-9.1061,124.8925,22.67,90,100,1.57,ID,1679939319
186,mathathane,-22.2687,28.7495,19.11,69,100,8.69,BW,1679939320
187,codrington,-38.2667,141.9667,13.99,86,88,1.92,AU,1679939320
188,acarau,-2.8856,-40.12,28.08,73,89,3.34,BR,1679939321
189,tuy hoa,13.0833,109.3,24.42,92,70,0.73,VN,1679939321
190,penha,-26.7694,-48.6458,25.93,53,20,4.63,BR,1679939322
191,liwale,-9.7667,37.9333,21.93,97,100,1.07,TZ,1679939322
192,alcaniz,41.05,-0.1333,14.35,39,0,5.69,ES,1679939322
193,barrow,71.2906,-156.7887,-6.99,86,100,8.23,US,1679939220
194,san patricio,28.017,-97.5169,27.88,67,100,5.75,US,1679939324
195,nikolskoye,59.7035,30.7861,-1.06,98,100,2.59,RU,1679939203
196,vestmanna,62.1564,-7.1664,2.51,60,100,8.75,FO,1679939325
197,constantine,36.365,6.6147,13.67,58,20,5.14,DZ,1679939092
198,melfi,40.9965,15.6514,9.31,91,75,3.05,IT,1679939325
199,simao,22.7886,100.9748,18.06,41,40,0.81,CN,1679939326
200,rawson,-43.3002,-65.1023,31.09,13,31,7.87,AR,1679939016
201,saldanha,-33.0117,17.9442,22.03,66,12,7.55,ZA,1679939016
202,castro,-24.7911,-50.0119,19.47,90,100,2.94,BR,1679939326
203,traiguen,-38.25,-72.6833,26.27,13,1,1.98,CL,1679939167
204,sorong,-0.8833,131.25,25.78,83,100,2.04,ID,1679939327
205,pringsewu,-5.3582,104.9744,23.3,96,100,1.05,ID,1679939327
206,bertoua,4.5833,13.6833,24.0,74,93,1.89,CM,1679939328
207,narsaq,60.9167,-46.05,4.12,71,4,0.75,GL,1679939328
208,trairi,-3.2778,-39.2689,27.34,83,51,3.08,BR,1679939152
209,carnarvon,-24.8667,113.6333,23.47,75,98,6.89,AU,1679939211
210,bereda,43.2686,-7.5406,13.94,60,35,0.72,ES,1679939329
211,khatanga,71.9667,102.5,-35.13,100,63,1.96,RU,1679939330
212,tura,25.5198,90.2201,20.57,69,0,2.17,IN,1679939330
213,ostrovnoy,68.0531,39.5131,-7.63,82,99,3.29,RU,1679939331
214,kalabo,-14.97,22.6814,22.07,69,100,1.8,ZM,1679939331
215,mount isa,-20.7333,139.5,19.87,88,20,0.0,AU,1679939331
216,ilulissat,69.2167,-51.1,-9.99,73,40,1.54,GL,1679939332
217,sola,-13.8833,167.55,27.49,75,63,2.13,VU,1679939332
218,port moresby,-9.4431,147.1797,23.68,94,40,2.57,PG,1679939333
219,sakakah,29.9697,40.2064,19.76,29,0,3.75,SA,1679939333
220,soligalich,59.0778,42.2864,0.66,99,100,1.19,RU,1679939334
221,kavaratti,10.5669,72.642,27.42,72,55,6.56,IN,1679939334
222,yarmouth,41.7057,-70.2286,14.78,45,0,4.02,US,1679939114
223,omsukchan,62.5333,155.8,-21.57,98,61,2.93,RU,1679939334
224,faanui,-16.4833,-151.75,27.73,71,88,4.84,PF,1679939335
225,yumen,40.2833,97.2,7.94,15,0,3.18,CN,1679939335
226,severo-kurilsk,50.6789,156.125,0.22,98,100,8.67,RU,1679939336
227,coquimbo,-29.9533,-71.3436,19.85,77,40,4.63,CL,1679939321
228,priargunsk,50.3691,119.1012,-16.19,98,55,1.24,RU,1679939336
229,rio gallegos,-51.6226,-69.2181,9.03,87,100,13.38,AR,1679939174
230,touros,-5.1989,-35.4608,28.35,70,100,5.37,BR,1679939337
231,acapulco,16.8634,-99.8901,29.9,51,0,1.54,MX,1679939085
232,mattru,7.6244,-11.8332,28.38,60,100,3.54,SL,1679939337
233,dannenberg,53.0967,11.09,4.52,68,97,6.22,DE,1679939337
234,yamada,39.4667,141.95,4.8,72,71,1.55,JP,1679939338
235,matamoros,25.5333,-103.25,27.28,10,100,1.36,MX,1679939338
236,lompoc,34.6391,-120.4579,16.58,52,20,0.89,US,1679938981
237,mbengwi,6.0167,10.0,21.19,77,76,0.98,CM,1679939339
238,saint-louis,16.3333,-15.0,39.8,5,2,5.49,SN,1679939339
239,maumere,-8.6199,122.2111,26.29,80,100,2.4,ID,1679939339
240,bat khela,34.6167,71.9714,16.13,50,23,2.5,PK,1679939340
241,chumikan,54.7183,135.315,-13.94,97,47,2.54,RU,1679939340
242,south lake tahoe,38.9332,-119.9844,1.31,38,0,2.06,US,1679939185
243,port hardy,50.6996,-127.4199,8.0,81,20,1.54,CA,1679939341
244,ketchikan,55.3422,-131.6461,6.26,52,0,4.63,US,1679939268
245,victoria,22.2855,114.1577,17.96,92,100,2.68,HK,1679939105
246,zhigansk,66.7697,123.3711,-7.81,96,100,6.13,RU,1679939342
247,juneau,58.3019,-134.4197,1.34,90,40,0.0,US,1679939227
248,phangnga,8.4509,98.5298,29.02,85,91,1.57,TH,1679939342
249,sabang,5.8933,95.3214,28.48,72,92,4.22,ID,1679939343
250,kargil,34.5667,76.1,-9.0,78,8,1.52,IN,1679939344
251,chara,56.9064,118.2631,-3.95,74,100,0.98,RU,1679939344
252,mazagao,-0.115,-51.2894,27.03,86,97,0.49,BR,1679939344
253,sitka,57.0531,-135.33,2.94,70,0,0.0,US,1679939345
254,dingle,10.9995,122.6711,24.33,89,100,3.43,PH,1679939345
255,moses lake,47.1301,-119.2781,4.38,70,100,0.0,US,1679939346
256,bara,10.3744,10.7288,30.92,11,98,3.16,NG,1679939051
257,sao joao da barra,-21.6403,-41.0511,32.05,73,30,6.3,BR,1679939346
258,beloha,-25.1667,45.05,22.27,82,32,6.19,MG,1679939347
259,kikwit,-5.041,18.8162,23.11,87,98,1.4,CD,1679939347
260,cozumel,20.5083,-86.9458,29.48,64,75,4.63,MX,1679939205
261,kedougou,12.5579,-12.1743,41.32,15,0,2.06,SN,1679939348
262,vao,-22.6667,167.4833,25.09,82,94,7.59,NC,1679939349
263,nouakchott,18.0858,-15.9785,34.96,36,6,6.92,MR,1679939350
264,peterhead,57.5058,-1.7981,6.36,62,58,7.22,GB,1679939351
265,urbana,40.1106,-88.2073,9.05,68,75,5.14,US,1679939351
266,guerrero negro,27.9769,-114.0611,19.37,41,68,0.51,MX,1679939352
267,alice springs,-23.7,133.8833,27.75,32,100,2.57,AU,1679939267
268,lebu,-37.6167,-73.65,15.86,65,4,2.93,CL,1679939057
269,araouane,18.9048,-3.5265,34.18,8,29,3.58,ML,1679939353
270,kayerkan,69.3497,87.7602,-27.49,82,98,1.73,RU,1679939353
271,nagorsk,59.3172,50.8078,4.49,99,100,3.66,RU,1679939353
272,tursunzoda,38.5144,68.2333,16.41,43,67,2.83,TJ,1679939354
273,karasjok,69.4719,25.5112,-15.86,99,25,1.35,NO,1679939354
274,katobu,-4.9408,122.5276,24.5,92,100,1.23,ID,1679939355
275,santiago,-33.4569,-70.6483,30.86,36,0,5.66,CL,1679938814
276,havre-saint-pierre,50.2334,-63.5986,1.2,69,75,3.09,CA,1679939318
277,lavrentiya,65.5833,-171.0,-22.63,85,12,2.84,RU,1679939356
278,vanavara,60.34,102.2797,0.21,90,100,7.24,RU,1679939356
279,saint george,37.1041,-113.5841,8.02,38,0,0.89,US,1679939142
280,batagay,67.6333,134.6333,-11.43,87,100,2.16,RU,1679939357
281,le port,-20.9373,55.2919,24.0,75,20,0.91,RE,1679939358
282,nuuk,64.1835,-51.7216,-3.66,80,0,6.71,GL,1679939358
283,iqaluit,63.7506,-68.5145,-10.15,79,100,1.54,CA,1679939182
